name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,gw,player_id,first_name,last_name
Pablo Fornals,MID,West Ham,4.3,2,0,19,1,10.6,450,28,0,0,3.3,17.8,2020-09-27T18:00:00Z,90,20,0,0,0,0,3,0,5599,0,4,5,9,-826,345,1171,64,TRUE,0,3,450,Pablo,Fornals
Pablo Hernández Domínguez,MID,Leeds,0,0,0,0,0,0,193,25,0,0,0,0,2020-09-27T11:00:00Z,0,15,0,0,0,0,3,0,52255,1,0,0,0,-59014,745,59759,59,FALSE,0,3,193,Pablo,Hernández Domínguez
Pablo Marí,DEF,Arsenal,0,0,0,0,0,0,10,23,0,0,0,0,2020-09-28T19:00:00Z,0,11,0,0,0,0,3,0,705,1,3,0,0,-83,69,152,45,FALSE,0,3,10,Pablo,Marí
Pascal Groß,MID,Brighton,-0.3,0,0,5,0,16.2,57,19,1,0,3,4,2020-09-26T11:30:00Z,16,13,0,0,0,0,3,0,8573,3,2,10,1,-2499,328,2827,59,TRUE,0,3,57,Pascal,Groß
Pascal Struijk,DEF,Leeds,-0.5,0,0,0,0,0,211,25,0,0,0,0,2020-09-27T11:00:00Z,0,15,0,0,0,0,3,0,148434,1,0,0,0,-9557,17038,26595,40,FALSE,0,3,211,Pascal,Struijk
Patrick Bamford,FWD,Leeds,9.2,0,2,29,1,12.4,202,25,0,1,9.1,34.6,2020-09-27T11:00:00Z,90,15,0,0,0,0,3,0,1408294,1,0,44,8,542839,668971,126132,57,FALSE,0,3,202,Patrick,Bamford
Patrick van Aanholt,DEF,Crystal Palace,0,0,0,0,0,0,139,21,0,0,0,0,2020-09-26T14:00:00Z,0,7,0,0,0,0,3,0,4637,2,1,0,0,-973,184,1157,55,TRUE,0,3,139,Patrick,van Aanholt
Paulo Gazzaniga,GK,Spurs,0.5,0,0,0,0,0,393,26,0,0,0,0,2020-09-27T13:00:00Z,0,14,0,0,0,0,3,0,22915,1,1,0,0,-2421,428,2849,45,TRUE,0,3,393,Paulo,Gazzaniga
Paul Dummett,DEF,Newcastle,0,0,0,0,0,0,331,26,0,0,0,0,2020-09-27T13:00:00Z,0,17,0,0,0,0,3,0,1364,1,1,0,0,-300,27,327,45,FALSE,0,3,331,Paul,Dummett
Paul Pogba,MID,Man Utd,3,0,0,3,0,0.8,296,19,1,0,0,0,2020-09-26T11:30:00Z,64,3,0,0,0,0,3,0,122029,3,2,0,2,-27439,9465,36904,80,FALSE,0,3,296,Paul,Pogba
Pedro Lomba Neto,MID,Wolves,3.3,0,0,12,0,43.5,474,28,4,0,6,8.4,2020-09-27T18:00:00Z,90,19,0,0,0,0,3,0,44254,0,4,8,2,8598,19559,10961,55,FALSE,0,3,474,Pedro,Lomba Neto
